istat,comune,lng,lat
21001,Aldino,11.35402888,46.36783596
21002,Andriano,11.23293128,46.52023315
21003,Anterivo,11.36675092,46.2774946
21004,Appiano sulla strada del vino,11.25885656,46.45527585
21005,Avelengo,11.22475188,46.64671212
21006,Badia,11.89342082,46.61067544
21007,Barbiano,11.51987095,46.60364899
21008,Bolzano,11.35662422,46.49933453
21009,Braies,12.1325695,46.71973406
21010,Brennero,11.44322879,46.93771816
21011,Bressanone,11.65699492,46.71643929
21012,Bronzolo,11.31989385,46.40460343
21013,Brunico,11.9372984,46.79738401
21014,Caines,11.1752993,46.6965165
21015,Caldaro sulla strada del vino,11.24515892,46.41317465
21016,Campo di Trens,11.48395496,46.87111849
21017,Campo Tures,11.95188039,46.91992376
21018,Castelbello-Ciardes,10.90114298,46.62831219
21019,Castelrotto,11.55946126,46.56780623
21020,Cermes,11.14503298,46.63279289
21021,Chienes,11.83631922,46.80644678
21022,Chiusa,11.56809214,46.64167054
21023,Cornedo all'Isarco,11.39267489,46.49425422
21024,Cortaccia sulla strada del vino,11.22355148,46.31331764
21025,Cortina sulla strada del vino,11.22259368,46.26868917
21026,Corvara in Badia,11.8745233,46.55291042
21027,Curon Venosta,10.54216821,46.80669161
21028,Dobbiaco,12.22019811,46.73551057
21029,Egna,11.27282548,46.31387437
21030,Falzes,11.8826532,46.8117497
21031,Fiè allo Sciliar,11.50139797,46.51753578
21032,Fortezza,11.61256174,46.78644534
21033,Funes,11.68057452,46.64226751
21034,Gais,11.9477335,46.835277
21035,Gargazzone,11.20131739,46.58471676
21036,Glorenza,10.55567836,46.67116521
21037,Laces,10.85946518,46.61763702
21038,Lagundo,11.11775573,46.67753737
21039,Laion,11.56460096,46.60876374
21040,Laives,11.33846501,46.42648803
21041,Lana,11.1452916,46.6161126
21042,Lasa,10.69756468,46.61787377
21043,Lauregno,11.06224733,46.45420512
21044,Luson,11.76072155,46.74589084
21045,Magrè sulla strada del vino,11.20897141,46.28686737
21046,Malles Venosta,10.54480017,46.68953918
21047,Marebbe,11.93270219,46.69754471
21048,Marlengo,11.14041814,46.65479398
21049,Martello,10.78260147,46.56632365
21050,Meltina,11.25557484,46.58637551
21051,Merano,11.1618378,46.67176409
21052,Monguelfo-Tesido,12.10478072,46.75693562
21053,Montagna sulla strada del vino,11.30272954,46.3313476
21054,Moso in Passiria,11.16900266,46.83012323
21055,Nalles,11.20422581,46.54109648
21056,Naturno,11.0053329,46.65103584
21057,Naz-Sciaves,11.66584939,46.77053266
21058,Nova Levante,11.53555423,46.42978743
21059,Nova Ponente,11.42559558,46.41411435
21060,Ora,11.29831873,46.34811537
21061,Ortisei,11.67180248,46.57611397
21062,Parcines,11.07350936,46.6844223
21063,Perca,11.98322218,46.79145734
21064,Plaus,11.04236898,46.65569401
21065,Ponte Gardena,11.53033945,46.59706769
21066,Postal,11.1915481,46.6096293
21067,Prato allo Stelvio,10.58959468,46.6175649
21068,Predoi,12.10286682,47.03849873
21069,Proves,11.02231835,46.47617681
21070,Racines,11.37850769,46.88271114
21071,Rasun-Anterselva,12.0493348,46.78077135
21072,Renon,11.4630202,46.53670501
21073,Rifiano,11.18033767,46.70159182
21074,Rio di Pusteria,11.66780079,46.79702773
21075,Rodengo,11.69495569,46.77932062
